try-1-otel-collector-1  | 2022-05-02T08:45:22.794Z	INFO	loggingexporter/logging_exporter.go:56	MetricsExporter	{"#metrics": 8}
try-1-otel-collector-1  |      -> code: STRING(200)
try-1-otel-collector-1  |      -> method: STRING(GET)
try-1-otel-collector-1  |      -> protocol: STRING(http)
try-1-otel-collector-1  |      -> service: STRING(whoami@docker)
try-1-otel-collector-1  | StartTimestamp: 2022-05-02 08:45:12.793029919 +0000 UTC
try-1-otel-collector-1  | Timestamp: 2022-05-02 08:45:22.793343307 +0000 UTC
try-1-otel-collector-1  | Count: 1
try-1-otel-collector-1  | Sum: 0.000735
try-1-otel-collector-1  | ExplicitBounds #0: 0.005000
try-1-otel-collector-1  | ExplicitBounds #1: 0.010000
try-1-otel-collector-1  | ExplicitBounds #2: 0.025000
try-1-otel-collector-1  | ExplicitBounds #3: 0.050000
try-1-otel-collector-1  | ExplicitBounds #4: 0.100000
try-1-otel-collector-1  | ExplicitBounds #5: 0.250000
try-1-otel-collector-1  | ExplicitBounds #6: 0.500000
try-1-otel-collector-1  | ExplicitBounds #7: 1.000000
try-1-otel-collector-1  | ExplicitBounds #8: 2.500000
try-1-otel-collector-1  | ExplicitBounds #9: 5.000000
try-1-otel-collector-1  | ExplicitBounds #10: 10.000000
try-1-otel-collector-1  | Buckets #0, Count: 1
try-1-otel-collector-1  | Buckets #1, Count: 0
try-1-otel-collector-1  | Buckets #2, Count: 0
try-1-otel-collector-1  | Buckets #3, Count: 0
try-1-otel-collector-1  | Buckets #4, Count: 0
try-1-otel-collector-1  | Buckets #5, Count: 0
try-1-otel-collector-1  | Buckets #6, Count: 0
try-1-otel-collector-1  | Buckets #7, Count: 0
try-1-otel-collector-1  | Buckets #8, Count: 0
try-1-otel-collector-1  | Buckets #9, Count: 0
try-1-otel-collector-1  | Buckets #10, Count: 0
try-1-otel-collector-1  | Buckets #11, Count: 0
try-1-otel-collector-1  | Metric #2
try-1-otel-collector-1  | Descriptor:
try-1-otel-collector-1  |      -> Name: traefik_service_requests_total
try-1-otel-collector-1  |      -> Description: How many HTTP requests processed on a service, partitioned by status code, protocol, and method.
try-1-otel-collector-1  |      -> Unit: 1
try-1-otel-collector-1  |      -> DataType: Sum
try-1-otel-collector-1  |      -> IsMonotonic: false
try-1-otel-collector-1  |      -> AggregationTemporality: AGGREGATION_TEMPORALITY_CUMULATIVE
try-1-otel-collector-1  | NumberDataPoints #0
try-1-otel-collector-1  | Data point attributes:
try-1-otel-collector-1  |      -> code: STRING(200)
try-1-otel-collector-1  |      -> method: STRING(GET)
try-1-otel-collector-1  |      -> protocol: STRING(http)
try-1-otel-collector-1  |      -> service: STRING(whoami@docker)
try-1-otel-collector-1  | StartTimestamp: 2022-05-02 08:45:12.793029919 +0000 UTC
try-1-otel-collector-1  | Timestamp: 2022-05-02 08:45:22.793343307 +0000 UTC
try-1-otel-collector-1  | Value: 1.000000

